stop_id,lat,long,count
1,41.765179,-72.673435,1132
10,41.763621,-72.686946,525
100,41.765535,-72.715800,218
1000,41.748698,-72.576505,2
10001,41.689974,-72.798441,65
10003,41.692199,-72.796431,65
10004,41.696274,-72.797858,65
10005,41.698115,-72.798414,65
10006,41.677292,-72.793740,65
10007,41.684397,-72.796568,65
10008,41.684236,-72.796641,65
1001,41.750477,-72.577019,2
10012,41.698589,-72.799660,65
10014,41.681549,-72.813739,65
10015,41.682077,-72.814550,65
10016,41.681335,-72.815191,130
10017,41.680843,-72.813909,65
1002,41.752534,-72.577545,2
10020,41.680324,-72.805342,65
10021,41.680976,-72.803055,65
10022,41.673611,-72.795762,65
10023,41.703235,-72.795616,65
10024,41.696380,-72.791237,65
10025,41.381951,-72.902261,64
10026,41.682299,-72.776035,61
10027,41.685949,-72.784672,124
10028,41.690304,-72.770692,61
10029,41.690224,-72.770898,63
1003,41.754160,-72.577503,2
10030,41.682362,-72.776289,63
10031,41.665625,-72.816694,47
10032,41.348112,-72.913341,85
10033,41.670435,-72.783895,65
10034,41.673983,-72.784546,65
10035,41.675252,-72.784800,65
10036,41.677861,-72.785524,65
10037,41.678791,-72.786286,65
10038,41.679730,-72.787047,65
10039,41.680311,-72.787483,65
1004,41.754178,-72.577745,2
10040,41.681687,-72.787797,65
10041,41.683108,-72.787989,65
10042,41.685315,-72.788412,65
10043,41.686191,-72.788617,65
10044,41.688953,-72.789257,65
10048,41.693395,-72.790646,65
10049,41.698373,-72.791357,65
1005,41.752444,-72.577279,2
10050,41.699695,-72.792204,65
10051,41.700705,-72.793160,65
10052,41.702422,-72.794829,65
10055,41.711504,-72.808310,65
10056,41.722197,-72.788972,65
10059,41.710798,-72.809073,65
1006,41.750486,-72.576765,2
10060,41.707455,-72.805140,61
10061,41.705890,-72.799221,65
10062,41.308979,-72.921454,71
10063,41.703039,-72.795725,65
10064,41.702198,-72.794902,65
10065,41.700527,-72.793269,65
10066,41.699776,-72.792555,65
10068,41.698212,-72.791527,65
10069,41.682902,-72.788195,65
1007,41.748786,-72.576274,2
10076,41.693261,-72.790828,65
10077,41.688595,-72.789378,65
10078,41.686334,-72.788871,65
10079,41.685280,-72.788642,65
1008,41.747204,-72.575832,2
10080,41.681615,-72.788014,65
10081,41.680230,-72.787676,65
10082,41.679229,-72.786927,65
10083,41.677772,-72.785754,65
10084,41.675225,-72.785042,65
10087,41.048532,-73.534541,61
1009,41.745469,-72.575342,2
10090,41.048492,-73.535345,28
10091,41.670916,-72.781028,61
10092,41.672400,-72.781099,61
10093,41.673302,-72.780675,61
10094,41.673676,-72.777481,61
10095,41.673774,-72.776247,61
10096,41.674712,-72.774988,61
10097,41.675963,-72.774975,61
10099,41.678161,-72.775336,61
1010,41.743581,-72.578642,2
10100,41.680110,-72.775673,61
10101,41.681218,-72.775854,61
10102,41.686383,-72.774580,61
10103,41.682630,-72.775248,61
10104,41.683228,-72.773989,61
10105,41.684729,-72.774254,61
10106,41.687393,-72.774785,61
10107,41.688680,-72.775013,61
10108,41.691084,-72.775435,124
10109,41.691343,-72.776609,124
1011,41.743078,-72.582302,2
10110,41.690934,-72.780627,124
10111,41.689237,-72.783242,124
10112,41.688021,-72.783219,124
10113,41.686726,-72.784538,124
10114,41.686252,-72.783631,124
10115,41.687449,-72.783062,124
10116,41.687753,-72.782444,124
10117,41.688127,-72.780048,124
10118,41.688457,-72.778003,124
10119,41.688814,-72.775558,124
1012,41.742787,-72.584434,2
10120,41.689179,-72.773210,61
10121,41.689607,-72.771031,61
10124,41.695712,-72.772249,61
10125,41.697124,-72.773809,61
10126,41.698983,-72.774219,61
1013,41.742390,-72.587185,2
10137,41.796167,-72.709703,4
1014,41.741933,-72.590904,2
10147,41.700690,-72.774799,63
10148,41.696937,-72.773991,63
10149,41.695837,-72.772721,63
1015,41.741651,-72.593158,2
10151,41.691904,-72.771320,63
10152,41.689768,-72.771104,63
